,loteria,concurso,data,local,dezenasOrdemSorteio,dezenas,trevos,timeCoracao,mesSorte,premiacoes,estadosPremiados,observacao,acumulou,proximoConcurso,dataProximoConcurso,localGanhadores,valorArrecadado,valorAcumuladoConcurso_0_5,valorAcumuladoConcursoEspecial,valorAcumuladoProximoConcurso,valorEstimadoProximoConcurso
1571,megasena,2887.0,12/07/2025,"ESPAÇO DA SORTE em SÃO PAULO, SP","['50', '14', '57', '30', '29', '53']","['14', '29', '30', '50', '53', '57']",[],nan,null,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 39, 'valorPremio': 96688.72}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 3189, 'valorPremio': 1689.22}]",[],,1.0,2888.0,15/07/2025,[],64746132.0,10457090.9,65122889.62,38609104.58,46000000.0
1575,megasena,1461.0,2013-01-19,"Caminhão da Sorte em ARIQUEMES, RO","['44', '31', '49', '54', '36', '47']","['31', '36', '44', '47', '49', '54']",[],,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 99, 'valorPremio': 27077.55}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 6683, 'valorPremio': 573.02}]",[],,1.0,1462.0,23/01/2013,[],45787974.0,5599616.59,3164954.8,17234665.08,23000000.0
1576,megasena,1543.0,30/10/2013,"Auditório em OSASCO, SP","['30', '07', '23', '20', '15', '41']","['07', '15', '20', '23', '30', '41']",[],,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 182, 'valorPremio': 21370.06}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 13138, 'valorPremio': 422.91}]",[],SORTEIO REALIZADO EM ESTÚDIO DE TV,1.0,1544.0,01/11/2013,[],66433014.0,14234718.21,49281253.4,36779781.7,45000000.0
1578,megasena,1395.0,06/06/2012,"Caminhão da Sorte em JACUTINGA, MG","['05', '44', '11', '19', '17', '48']","['05', '11', '17', '19', '44', '48']",[],,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 245, 'valorPremio': 8770.07}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 13657, 'valorPremio': 224.75}]",[],,1.0,1396.0,09/06/2012,[],36700846.0,2487931.02,20416341.78,15722099.73,20000000.0
1581,megasena,116.0,23/05/1998,"Auditório em BRASÍLIA, DF","['36', '42', '32', '05', '13', '51']","['05', '13', '32', '36', '42', '51']",,,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 64, 'valorPremio': 11956.28}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 5270, 'valorPremio': 144.91}]",,,1.0,117.0,,[],10384878.0,5024584.12,0.0,3257973.62,4200000.0
1584,megasena,1259.0,19/02/2011,"Caminhão da Sorte em CAPÃO DA CANOA, RS","['39', '54', '58', '46', '04', '06']","['04', '06', '39', '46', '54', '58']",[],,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 74, 'valorPremio': 21208.42}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 5240, 'valorPremio': 427.86}]",[],,1.0,1260.0,23/02/2011,[],26806906.0,19695537.06,7306758.51,19695537.06,23000000.0
1587,megasena,182.0,28/08/1999, em ,"['46', '60', '05', '10', '28', '03']","['03', '05', '10', '28', '46', '60']",[],,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 239, 'valorPremio': 9954.78}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 17413, 'valorPremio': 136.13}]",[],A MEGASENA continua Acumulada,1.0,183.0,,[],0.0,4936084.82,0.0,17428194.22,0.0
1588,megasena,502.0,04/10/2003,"Caminhão da Sorte em CRUZ ALTA, RS","['50', '07', '33', '21', '24', '13']","['07', '13', '21', '24', '33', '50']",[],,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 2, 'valorPremio': 730915.33}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 268, 'valorPremio': 2731.87}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 9549, 'valorPremio': 76.39}]",[],"Estimativa de prêmio (SENA) próximo concurso: R$700.000,00.",0.0,503.0,08/10/2003,"[{'ganhadores': 1, 'municipio': '', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'MS'}, {'ganhadores': 1, 'municipio': '', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'SP'}]",0.0,2368504.02,0.0,0.0,0.0
1589,megasena,1520.0,10/08/2013,"Caminhão da Sorte em ITABIRA, MG","['36', '46', '48', '31', '07', '35']","['07', '31', '35', '36', '46', '48']",[],,null,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 43, 'valorPremio': 53442.81}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 5886, 'valorPremio': 557.74}]",[],,1.0,1521.0,14/08/2013,[],39252254.0,2660889.63,36506629.1,20461515.75,25000000.0
1592,megasena,1418.0,22/08/2012,"Caminhão da Sorte em TAQUARITINGA, SP","['07', '08', '10', '27', '12', '56']","['07', '08', '10', '12', '27', '56']",[],,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 188, 'valorPremio': 7637.07}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 11107, 'valorPremio': 184.66}]",[],,1.0,1419.0,25/08/2012,[],24524004.0,9819776.75,34722301.1,2644837.54,5600000.0
